FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y
86.0000,5.0000,1793.0884,1565.6148,903.7193,1427.1564,456.1068,1221.3021,843.0289,851.2080,746.7351,797.5073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87.0000,6.0000,1790.1984,1656.1312,907.1725,1519.5553,455.8163,1311.4028,841.7617,941.3745,745.3797,890.5400,1525.0875,41.9580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88.0000,5.0000,910.5675,1611.3582,455.5355,1401.1095,840.4324,1031.4752,743.8791,983.0485,1523.8056,133.4465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89.0000,4.0000,455.0173,1491.2185,839.2935,1121.7132,742.0001,1076.3336,1522.6030,225.2652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90.0000,4.0000,454.8475,1580.4215,838.3290,1210.9211,740.5040,1168.5058,1521.4037,316.4508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91.0000,3.0000,837.3965,1300.1203,739.0448,1260.8346,1520.2926,407.6518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92.0000,3.0000,836.5151,1389.5842,737.2658,1353.1493,1518.8821,499.1100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93.0000,3.0000,835.2742,1478.5273,735.7148,1444.8168,1517.7972,590.2894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94.0000,3.0000,834.3408,1566.9913,734.1804,1536.3208,1516.7788,681.6650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95.0000,4.0000,833.5448,1654.7644,732.7742,1627.1681,1515.5342,772.6730,1200.2678,37.1748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96.0000,2.0000,1514.3876,864.5606,1202.2042,130.5900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
